INSTNM,CONTROL,DEBT_MDN,C150_4_POOLED_SUPP,RPY_3YR_RT_SUPP,UGDS
University of Denver,2,18000,0.7771,0.7306397306,6059
Emily Griffith Technical College,1,PS,NA,NA,5914
Fort Lewis College,1,9000,0.4085,0.5765550239,3070
Front Range Community College,1,7000,0.2859,0.4292108592,11132
Iliff School of Theology,2,NA,NA,NA,NA
International Salon and Spa Academy,3,5117,NA,0.3553459119,307
Lamar Community College,1,5973,NA,0.3813333333,406
Colorado Mesa University,1,11000,0.403,0.4893529047,7604
Metropolitan State University of Denver,1,12500,0.2946,0.4776819362,14932
Morgan Community College,1,5500,0.4076,0.4406130268,619
Naropa University,2,14750,0.3939,0.6342412451,368
Nazarene Bible College,2,17106,PS,0.3971014493,336
Northeastern Junior College,1,5500,NA,0.4978165939,825
University of Northern Colorado,1,13805,0.5162,0.6216042781,5693
Otero College,1,6000,NA,0.3954887218,642
Pikes Peak State College,1,4900,0.2296,0.3800547769,9307
Pueblo Community College,1,5750,0.317,0.3397804496,3293
Red Rocks Community College,1,4900,0.3797,0.4412427963,4281
Regis University,2,19750,0.638,0.6104928458,2599
Rocky Mountain College of Art and Design,3,9500,0.3832,0.5238095238,1878
Montessori Education Center of the Rockies,2,PS,0.8387,0.6976744186,6
Colorado State University Pueblo,1,14475,0.3641,0.5336236091,3028
Pickens Technical College,1,PS,NA,NA,646
Intellitec College-Colorado Springs,3,8894,NA,0.226446281,816
Intellitec College-Grand Junction,3,9088,NA,0.3002070393,1160
Trinidad State College,1,6500,0.5331,0.436123348,1168
United States Air Force Academy,1,NA,0.9382,NA,4124
Empire Beauty School-Thornton,3,6756,NA,0.2741273101,104
Western Colorado University,1,12000,0.4879,0.6302702703,1653
Albertus Magnus College,2,25000,0.4795,0.457348407,882
Bais Binyomin Academy,2,PS,0.125,NA,50
University of Bridgeport,2,19500,0.4753,0.5003162555,1450
Central Connecticut State University,1,16750,0.5127,0.6128649418,7670
Charter Oak State College,1,12422,PS,0.5217391304,1620
Cortiva Institute,3,11259,NA,0.5823170732,220
Connecticut College,2,20000,0.8393,0.9057971014,1960
Porter & Chester Institute of Hamden,3,9500,NA,0.3315789474,333
University of Connecticut,1,18610,0.8349,0.7798093248,19147
Goodwin University,2,14221,0.5155,0.342172524,2761
Lincoln Technical Institute-East Windsor,3,9500,NA,0.3663503819,971
Eastern Connecticut State University,1,18500,0.5914,0.700228833,3377
Fairfield University,2,23251,0.8399,0.8162208801,4938
Paul Mitchell the School-North Haven,3,6333,NA,0.5333333333,191
Connecticut State Community College,1,5235,NA,0.3993288591,32292
Rensselaer at Hartford,2,21995,NA,0.9167983149,NA
American Institute-West Hartford,3,9304,NA,0.2478231748,396
Hartford International University for Religion and Peace,2,PS,NA,NA,NA
University of Hartford,2,19500,0.5762,0.6615384615,4032
Holy Apostles College and Seminary,2,7500,PS,PS,203
Mitchell College,2,15000,0.5227,0.6023622047,421
Lincoln Technical Institute-New Britain,3,9500,NA,0.3663503819,783
New England Tractor Trailer Training School of Connecticut,3,6333,NA,0.3757934829,293
University of New Haven,2,20475,0.605,0.6973575557,4799
Paier College,3,8935,0.6,0.59375,183
Porter & Chester Institute,3,9500,NA,0.3785123967,1405
Post University,3,8750,0.3375,0.2774694784,18975
Quinnipiac University,2,21500,0.7727,0.8204584041,6208
Sacred Heart University,2,19860,0.7373,0.7441209406,6904
University of Saint Joseph,2,24000,0.6537,0.6064981949,825
Southern Connecticut State University,1,15000,0.5053,0.6071103008,6180
Trinity College,2,21000,0.8316,0.8032407407,2193
United States Coast Guard Academy,1,NA,0.872,NA,1081
Wesleyan University,2,13824,0.9237,0.8760757315,2973
Western Connecticut State University,1,17002,0.5073,0.6399026764,3434
Yale University,2,11648,0.9702,0.8607305936,6811
Margaret H Rollins School of Nursing at Beebe Medical Center,2,7500,NA,PS,43
Dawn Career Institute LLC,3,9298,NA,0.2107583774,385
Delaware Technical Community College-Terry,1,5500,0.1958,0.5005793743,11012
Delaware State University,1,17500,0.4207,0.3100961538,4630
University of Delaware,1,21000,0.7918,0.8,18812
Goldey-Beacom College,2,14375,0.6298,0.5212464589,634
Schilling-Douglas School of Hair Design,3,7733,NA,0.2828947368,166
Wilmington University,2,14308,0.2102,0.4269298026,8497
American University,2,19500,0.7895,0.7885844749,7593
The Catholic University of America,2,22250,0.7901,0.7624269006,3063
University of the District of Columbia,1,14250,0.3023,0.3062200957,3080
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,2,NA,NA,NA,NA
Gallaudet University,2,12750,0.4512,0.5640326975,879
George Washington University,2,19500,0.8499,0.8030700112,10848
Georgetown University,2,13500,0.9495,0.881875,7462
Howard University,2,19200,0.6923,0.3495055624,9604
Strayer University-District of Columbia,3,14000,PS,0.2382231351,309
National Conservatory of Dramatic Arts,2,PS,NA,PS,25
Trinity Washington University,2,19402,0.4146,0.3363787375,1415
Wesley Theological Seminary,2,PS,NA,PS,NA
Atlantic Technical College,1,PS,NA,NA,2672
Baptist University of Florida,2,17073,0.6479,0.5627705628,248
Barry University,2,15750,0.3767,0.4003912618,2245
Bethune-Cookman University,2,22500,0.3125,0.2113012336,2414
Lynn University,2,10413,0.5236,0.5647969052,2820
North Florida Technical College,1,PS,NA,NA,65
Eastern Florida State College,1,8279,0.512,0.3625937362,10162
Broward College,1,4500,0.3538,0.3846514903,23799
Albizu University-Miami,2,5000,0.5,0.4501160093,225
College of Central Florida,1,8550,0.4443,0.3226784238,4717
Johnson University Florida,2,13500,0.3333,0.6151960784,136
University of Central Florida,1,15000,0.7536,0.5894870661,59095
Charlotte Technical College,1,PS,NA,NA,295
Chipola College,1,PS,0.5654,0.4615384615,1218
Lorenzo Walker Technical College,1,PS,NA,NA,767
Daytona State College,1,5500,0.431,0.3714622642,9367
South University-West Palm Beach,3,13000,0.1352,0.2547585843,284
Eckerd College,2,19500,0.6755,0.6355932203,1984
Florida SouthWestern State College,1,5000,0.397,0.449689441,10613
Edward Waters University,2,11000,0.2907,0.1673582296,1113
Embry-Riddle Aeronautical University-Daytona Beach,2,14250,0.6549,0.6444394213,7535
Florida Agricultural and Mechanical University,1,17855,0.557,0.3422073343,7516
Florida Atlantic University,1,12500,0.6319,0.5458125796,23458
Florida State College at Jacksonville,1,8750,0.3531,0.3464216096,17739
Flagler College,2,15000,0.5646,0.5905923345,2404
Florida College,2,10000,0.5964,0.6946107784,589
Concorde Career Institute-Jacksonville,3,9500,NA,0.2819188192,140
Concorde Career Institute-Miramar,3,9500,NA,0.2738537794,137
Concorde Career Institute-Tampa,3,9500,NA,0.3404825737,132
AdventHealth University,2,18000,0.4453,0.5682944091,1068
Florida Institute of Technology,2,14049,0.6626,0.3697735192,3235
Florida International University,1,14246,0.7132,0.5364827312,38761
The College of the Florida Keys,1,8250,0.3861,0.4503816794,823
Florida Memorial University,2,16475,0.3314,0.1965230537,1299
Florida Career College-Miami,3,9365,NA,0.2288135593,130
Florida School of Massage,3,7073,NA,0.4472049689,32
Florida Southern College,2,19500,0.6876,0.6364513018,2607
Florida State University,1,16100,0.8387,0.6298657394,31812
University of Florida,1,14000,0.9073,0.6880226425,34102
Fort Pierce Beauty Academy,3,5500,NA,NA,30
Full Sail University,3,14038,0.4495,0.2434143463,25195
George Stone Technical College,1,PS,NA,NA,566
George T Baker Aviation Technical College,1,PS,NA,NA,922
Gulf Coast State College,1,5500,0.4162,0.40712817,3614
Key College,3,PS,NA,0.4109589041,16
Hillsborough Community College,1,6000,0.332,0.3316133471,19998
Hobe Sound Bible College,2,PS,0.45,PS,125
Hollywood Institute of Beauty Careers,3,6105,NA,0.2251381215,286
Cortiva Institute,3,7485,NA,0.4033898305,138
Indian River State College,1,5500,0.4441,0.3918613414,11571
International Academy,3,7917,NA,0.2121212121,191
Jacksonville University,2,12803,0.551,0.5393474088,2649
Keiser University-Ft Lauderdale,2,13000,0.4912,0.3012249153,17370
La Belle Beauty School,3,7056,NA,0.600619195,239
Florida Gateway College,1,5500,0.6029,0.3912429379,2231
Lake Technical College,1,PS,NA,NA,738
Lake-Sumter State College,1,4500,0.457,0.4731861199,3572
Fort Myers Technical College,1,PS,NA,NA,668
Lively Technical College,1,PS,NA,NA,785
Lindsey Hopkins Technical College,1,PS,NA,NA,388
Loraines Academy & Spa,3,5833,NA,0.29218107,85
Luther Rice College & Seminary,2,16094,PS,0.2598039216,195
State College of Florida-Manatee-Sarasota,1,5720,0.3599,0.3832787711,7161
Manatee Technical College,1,PS,NA,NA,1117
Traviss Technical College,1,PS,NA,NA,336
Merryfield Academy,3,6333,NA,PS,65
Trinity International University-Florida,2,19500,NA,0.5627198124,69
Miami Lakes Educational Center and Technical College,1,PS,NA,PS,730
Miami Dade College,1,7500,0.4463,0.4039725636,35001
University of Miami,2,15250,0.8417,0.7333573228,12570
Orange Technical College-South Campus,1,PS,NA,NA,1157
Paul Mitchell the School-Jacksonville,3,9833,NA,0.3950617284,117
North Florida College,1,PS,0.6176,NA,817
University of North Florida,1,11750,0.6795,0.5882242991,13915
Nova Southeastern University,2,16985,0.634,0.4797011208,7171
Northwest Florida State College,1,5500,0.4042,0.5089179548,3193
Orange Technical College,1,PS,NA,NA,189
Palm Beach Atlantic University,2,13816,0.5767,0.5704514364,2427
Palm Beach State College,1,5061,0.4144,0.3927038627,20532
Pasco-Hernando State College,1,7000,0.393,0.3448275862,6933
Pensacola State College,1,5500,0.394,0.4991525424,6725
Pinellas Technical College-Clearwater,1,PS,NA,NA,730
Polk State College,1,6500,0.3345,0.3575289575,5954
Radford M Locklin Technical College,1,PS,NA,NA,235
Saint Vincent de Paul Regional Seminary,2,NA,NA,NA,NA
Ridge Technical College,1,PS,NA,NA,375
Ringling College of Art and Design,2,27000,0.7368,0.6527777778,1719
Robert Morgan Educational Center and Technical College,1,PS,NA,NA,868
Rollins College,2,21385,0.773,0.5588235294,2582
First Coast Technical College,1,PS,NA,NA,369
Saint Leo University,2,14250,0.4908,0.356011298,6999
St Petersburg College,1,11000,0.3785,0.3202751447,18759
Pinellas Technical College-St. Petersburg,1,PS,NA,NA,1421
Santa Fe College,1,7125,0.5134,0.353776738,11133
Suncoast Technical College,1,PS,NA,NA,1102
Seminole State College of Florida,1,7704,0.4264,0.3229024467,11790
Sheridan Technical College,1,PS,NA,NA,1245
St. John Vianney College Seminary,2,PS,1,NA,18
Saint Johns River State College,1,8323,0.4428,0.3291689299,3909
South Florida State College,1,5387,0.5385,0.4605809129,2084
University of South Florida,1,14976,0.7435,0.5749133749,36299
St. Thomas University,2,9500,0.4306,0.4921985816,1963
Stetson University,2,15000,0.6322,0.617954071,2292
Southeastern University,2,12000,0.4299,0.5504523312,4646
Bene's Career Academy,3,6333,NA,0.2191435768,288
Riveroak Technical College,1,PS,NA,NA,241
Tallahassee State College,1,5350,0.3683,0.2928552735,10357
Talmudic College of Florida,2,PS,0.5965,PS,26
The University of Tampa,2,18750,0.6371,0.6488240065,10093
Big Bend Technical College,1,PS,NA,NA,160
Tom P. Haney Technical College,1,PS,NA,PS,432
Trinity Baptist College,2,11500,0.3482,0.4691358025,363
Trinity College of Florida,2,12000,0.0167,0.4295774648,187
Valencia College,1,5840,0.442,0.3197490048,35125
Warner University,2,13000,0.3721,0.3635077793,753
Florida Panhandle Technical College,1,PS,NA,NA,201
Webber International University,2,8750,0.2943,0.4105571848,879
Rasmussen University-Florida,3,13000,0.4764,0.3513632366,3034
University of West Florida,1,13000,0.5703,0.5347567031,9042
Orange Technical College-West Campus,1,PS,NA,NA,607
William T McFatter Technical College,1,PS,NA,NA,617
Orange Technical College-East Campus,1,PS,NA,NA,372
Withlacoochee Technical College,1,PS,NA,NA,262
Abraham Baldwin Agricultural College,1,8750,0.3474,0.4412275622,3218
Agnes Scott College,2,17750,0.7381,0.5623342175,898
Interactive College of Technology-Chamblee,3,8661,NA,0.3992932862,529
Interactive College of Technology-Morrow,3,8661,NA,0.3992932862,113
Albany Technical College,1,5681,NA,0.1518110236,2214
Albany State University,1,12000,0.2467,0.2056348335,5829
Andrew College,2,9500,0.2509,0.375,287
Georgia Career Institute,3,6544,NA,0.2742574257,586
Atlanta Technical College,1,6334,NA,0.1727375141,3044
Point University,2,14502,0.3297,0.3124287343,2617
Atlanta Metropolitan State College,1,6606,0.1867,0.2229544206,1348
Atlanta's John Marshall Law School,3,PS,NA,0.4406779661,NA
Atlanta School of Massage,3,7917,NA,0.4933774834,319
Clark Atlanta University,2,19500,0.4697,0.3121412804,3482
Augusta Technical College,1,5500,NA,0.2749326146,3531
Berry College,2,18900,0.694,0.726618705,2213
Beulah Heights University,2,38980,0.1,0.2197452229,158
Brenau University,2,18425,0.3913,0.4541800643,981
Brewton-Parker College,2,8250,0.217,0.4073275862,684
College of Coastal Georgia,1,8250,0.2422,0.3863501484,2794
West Georgia Technical College,1,5642,NA,0.3040540541,4811
Clayton  State University,1,16750,0.3497,0.3611568305,4390
Columbia Theological Seminary,2,PS,NA,PS,NA
Columbus Technical College,1,7245,NA,0.2446043165,2668
Columbus State University,1,15000,0.4259,0.3758259912,5537
Georgia Northwestern Technical College,1,3971,NA,0.2946918853,4080
Covenant College,2,19000,0.7292,0.8191268191,858
Dalton State College,1,7361,0.2603,0.4474408365,4419
Pro Way Hair School,3,9500,NA,0.0989399293,54
South University-Savannah,3,13000,0.1861,0.2547585843,246
East Georgia State College,1,6374,0.1346,0.2400873045,1368
Emmanuel University,2,12000,0.3593,0.4142857143,719
Emory University,2,16750,0.9088,0.7968103957,7275
Georgia Highlands College,1,6750,0.1968,0.4183187946,4441
Fort Valley State University,1,19000,0.4537,0.191741619,2541
Grady Health System Professional Schools,1,12500,NA,0.7049180328,60
Georgia Institute of Technology-Main Campus,1,20000,0.9244,0.8472092298,18260
Georgia Southwestern State University,1,11000,0.3413,0.4503664224,2291
Georgia College & State University,1,16018,0.6196,0.710251046,5599
Georgia Southern University,1,15250,0.524,0.5230109204,21029
Georgia State University,1,11750,0.5429,0.4443787482,27109
University of Georgia,1,16666,0.8762,0.6802183594,31310
Gordon State College,1,8750,0.1945,0.3007772896,2605
Southern Crescent Technical College,1,6334,NA,0.2555910543,4035
Gupton Jones College of Funeral Service,2,9500,NA,0.2955465587,451
Gwinnett College-Lilburn,3,9626,NA,0.2564575646,132
Gwinnett Technical College,1,7056,NA,0.3632892805,7395
Interdenominational Theological Center,2,PS,NA,PS,NA
LaGrange College,2,15750,0.4587,0.5758122744,566
Lanier Technical College,1,PS,NA,NA,4147
Life University,2,9500,0.317,0.3549160671,869
Chattahoochee Technical College,1,PS,NA,NA,7555
Herzing University-Atlanta,2,11756,0.2656,0.3041105434,499
Mercer University,2,17655,0.7345,0.4664031621,4620
Morehouse College,2,18500,0.558,0.3136645963,2736
Morehouse School of Medicine,2,PS,NA,PS,NA
Morris Brown College,2,NA,0.3,NA,338
North Georgia Technical College,1,5657,NA,0.3577235772,1966
Oglethorpe University,2,14750,0.5551,0.4711538462,1429
Paine College,2,11000,0.1956,0.1647058824,338
Piedmont University,2,18108,0.4482,0.4774665043,1235
Miami Ad School-Atlanta,3,16849,NA,0.7317073171,74
Reinhardt University,2,13156,0.3648,0.4927325581,1012
Savannah Technical College,1,3466,NA,0.2831168831,2967
Savannah College of Art and Design,2,15500,0.7148,0.5544922913,14423
Savannah State University,1,16500,0.2703,0.1953010279,2727
Shorter University,2,12500,0.3425,0.3869047619,1091
South Georgia Technical College,1,PS,NA,NA,1302
Spelman College,2,21750,0.7507,0.4242738589,3633
Thomas University,2,15000,0.4969,0.4173913043,813
Toccoa Falls College,2,11067,0.4619,0.5856832972,820
Truett McConnell University,2,12000,0.4379,0.5386904762,768
Wiregrass Georgia Technical College,1,2438,NA,0.2364394993,2762
Valdosta State University,1,13750,0.4107,0.4083426861,6858
Wesleyan College,2,15000,0.5172,0.4054054054,466
University of West Georgia,1,15000,0.4299,0.4344457688,7485
Young Harris College,2,12000,0.4762,0.5885714286,810
Chaminade University of Honolulu,2,17932,0.6226,0.5073947668,1648
University of Hawaii at Hilo,1,12500,0.4202,0.6322957198,2260
University of Hawaii at Manoa,1,13099,0.6245,0.6938028813,14306
Hawaii Institute of Hair Design,3,5500,NA,0.5377358491,70
Hawaii Pacific University,2,12000,0.4304,0.6262261229,2502
Honolulu Community College,1,5995,NA,0.4909390445,1897
Kapiolani Community College,1,6352,NA,0.5635359116,3955
Kauai Community College,1,7000,NA,0.5018315018,726
Leeward Community College,1,5500,NA,0.456928839,3382
University of Hawaii Maui College,1,9500,0.2706,0.3520574788,1635
University of Hawaii-West Oahu,1,11848,0.3981,0.5909878683,2510
Windward Community College,1,7175,NA,0.3729050279,1109
Carrington College-Boise,3,12094,NA,0.4466248038,433
Boise Bible College,2,12749,0.4746,0.568,103
Boise State University,1,14000,0.6081,0.540470297,17081
College of Eastern Idaho,1,7953,NA,0.4964028777,1396
Idaho State University,1,12500,0.3774,0.4820085051,7260
University of Idaho,1,15784,0.61,0.6182030338,7363
The College of Idaho,2,17000,0.6213,0.7181372549,1049
Lewis-Clark State College,1,10989,0.4002,0.5255407271,2277
Aveda Institute-Twin Falls,3,9056,NA,0.3188405797,93
North Idaho College,1,5500,NA,0.3734527258,2488
Northwest Nazarene University,2,16826,0.591,0.6507503411,1138
Nathan Layne Institute of Cosmetology,3,7055,NA,0.2727272727,69
Brigham Young University-Idaho,2,8750,0.5448,0.7002285253,42090
